product_name	product_url	category	status	stars
Fruits Shape Eraser For Kids Best Birthday Gifts	https://yoshops.com/products/fruits-shape-eraser-for-kids-best-birthday-gifts	Soft Toys	unreviewed	0.0
Magnetic Alphabet Letters and Numbers for Kids Learning	https://yoshops.com/products/magnetic-alphabet-letters-and-numbers-for-kids-learning	Soft Toys	unreviewed	0.0
Sony PlayStation PS2 Gaming Console 150 GB Hard Disk With 50 Games Preloaded(Black)	https://yoshops.com/products/sony-playstation-ps2-gaming-console-150-gb-hard-disk-with-50-games-preloaded-black	Gaming Accessories	Reviewd	5.0
Yoshops VR BOX Virtual Reality Glasses Headset 2.0 View Suitable For 4-6 Inch Smartphones	https://yoshops.com/products/yoshops-vr-box-virtual-reality-glasses-headset-2-0-view-suitable-for-4-6-inch-smartphones	Gaming Accessories	Reviewd	5.0
Sony PlayStation PS3 Console Slim 320 GB (Black)	https://yoshops.com/products/sony-playstation-3-console-slim-320-gb-black	Gaming Accessories	Reviewd	4.9
Barbie Doll (pink)	https://yoshops.com/products/barbie-doll	Gaming Accessories	Reviewd	4.9
Super Power JCB Truck Construction Loader Excavator Crane Toys	https://yoshops.com/products/super-power-jcb-truck-construction-loader-excavator-crane-toys1	Gaming Accessories	Reviewd	5.0
"Falcon Drone Four Axis Aircraft with 2.4 GHz RC, Blade Guard, Headless Mode LED Without Camera"	https://yoshops.com/products/falcon-drone-four-axis-aircraft-with-2-4-ghz-rc-blade-guard-headless-mode-led-without-camera	Gaming Accessories	Reviewd	5.0
Sony PlayStation PS1 with in-built DVD Player (Black)	https://yoshops.com/products/sony-playstation-ps2-with-in-built-dvd-player-black	Gaming Accessories	Reviewd	5.0
Diabolo Captain America Civil War Q Series Hyun Lights Upgraded Mini Drone Without Camera	https://yoshops.com/products/captain-america-24ghz-rc-quad-copter-drone	Gaming Accessories	Reviewd	5.0
Avengers Captain America Drone Four Axis Aircraft with 2.4 GHz Without Camera	https://yoshops.com/products/avengers-captain-america-drone-four-axis-aircraft-with-2-4-ghz-rc-blade-guard-headless-mode-led-without-camera	Gaming Accessories	Reviewd	5.0
Zebion Gamepad	https://yoshops.com/products/zebion-gamepad	Gaming Accessories	Reviewd	5.0
Zebronics ZEBVR100 Virtual Reality Kit VR box 3D 360 Degree	https://yoshops.com/products/zebronics-zebvr100-virtual-reality-kit-vr-box-3d-360-degree	Gaming Accessories	Reviewd	4.8
"Upstox Free Demat & Trading Account Get Free Gift (Wallet,Bag,Earphone) Value of Rs.999 from Yoshops.com"	https://yoshops.com/products/upstox-free-demat-trading-account-get-free-gift-wallet-bag-earphone-value-of-rs-999-from-yoshops-com	Gaming Accessories	Reviewd	5.0
Zebronics Radiant Multimedia Gaming Keyboard	https://yoshops.com/products/zebronics-radiant-multimedia-gaming-keyboard	Gaming Accessories	Reviewd	5.0
Barbie Doll Toy Combo pack(2 Pack)	https://yoshops.com/products/barbie-doll-toy-combo-pack2-pack	Gaming Accessories	Reviewd	5.0
Zebronics Card Reader VR BOX Special Combo	https://yoshops.com/products/zebronics-card-readervr-box-20wireless-mouse-multi-chargeruniversal-adaptor-iphone-head-phone-specaical-combo	Gaming Accessories	unreviewed	0.0
Sony PlayStation PS4 Slim 1TB Console(Black)	https://yoshops.com/products/sony-ps4-slim-1tb-console-black	Gaming Accessories	unreviewed	0.0
Zebronics ZEB-VR Virtual Reality Headset VR BOX	https://yoshops.com/products/zebronics-zeb-vr-virtual-reality-headset	Gaming Accessories	Reviewd	2.3
3 Wheeled Scooter For Kids	https://yoshops.com/products/3-wheeled-scooter-for-kids	Gaming Accessories	unreviewed	0.0
SONY PlayStation PS4 PRO 1TB Hard Disk(Black)	https://yoshops.com/products/sony-ps4-pro-1tb-hard-disk-black	Gaming Accessories	unreviewed	0.0
Toy Family Doll House Set	https://yoshops.com/products/family-doll-set	Gaming Accessories	unreviewed	0.0
Toy Gundam Robot with Gun (Red)	https://yoshops.com/products/savoir-robot-toy	Gaming Accessories	unreviewed	0.0
Batman rc Car with Remote Control with Rechargeable Batteries & Charger	https://yoshops.com/products/batman-rc-car-with-remote-control-with-rechargeable-batteries-charger	Gaming Accessories	unreviewed	0.0
Combo Set of 6 Pull Back Toy Car Small	https://yoshops.com/products/combo-set-of-6-pull-back-toy-car-small	Gaming Accessories	unreviewed	0.0
"Mini VR BOX Virtual Reality Headsets with ultra 3D glasses Compatible with Android and IOS Devices (Blue, Black)"	https://yoshops.com/products/mini-vr-box-virtual-reality-headsets-with-ultra-3d-glasses-compatible-with-android-and-ios-devices-blue-black	Gaming Accessories	unreviewed	0.0
Free Gift Value of Rs.999 and Get Free Paytm Money Demat Account	https://yoshops.com/products/free-gift-value-of-rs-999-and-get-free-paytm-money-demat-account	Gaming Accessories	unreviewed	0.0
"Hammer Airflow True Wireless Earbud with Mic (Black & White), 5 Hours Playtime,with Magnetic Charging case (300mah),Built-in Voice Assistant & Bluetooth 5.0"	https://yoshops.com/products/hammer-airflow-true-wireless-earbud-with-mic-black-white-5-hours-playtime-with-magnetic-charging-case-300mah-built-in-voice-assistant-bluetooth-5-0	Gaming Accessories	unreviewed	0.0
"Kasi yatra set silk cotton fabric decorated with rich kundans, brooches and laces"	https://yoshops.com/products/kasi-yatra-set-silk-cotton-fabric-decorated-with-rich-kundans-brooches-and-laces	Gaming Accessories	unreviewed	0.0
Wedding Doll Toy	https://yoshops.com/products/wedding-dolls	Gaming Accessories	unreviewed	0.0
Family Doll and Barbie doll set Toy Combo pack	https://yoshops.com/products/family-doll-and-barbie-doll-set-toy-combo-pack	Gaming Accessories	unreviewed	0.0
Combo pack Toys Savoir Robot and Barbie doll	https://yoshops.com/products/savoir-robot-and-barbie-doll-toy-combo-pack	Gaming Accessories	unreviewed	0.0
Kitchen Utensil Cooking Toy Cookware Set	https://yoshops.com/products/plastic-kitchen-utensil-cooking-toy-cookware-set	Gaming Accessories	unreviewed	0.0
Little Chef Kitchen Set With Convertible Suitcase	https://yoshops.com/products/little-chef-playset-with-convertible-suitcase	Gaming Accessories	unreviewed	0.0
Ultramodern Bullet Train Game Set	https://yoshops.com/products/ultramodern-bullet-train-game-set	Gaming Accessories	unreviewed	0.0
Hohot Singing Doll (Pink)	https://yoshops.com/products/hohot-singing-doll-pink	Gaming Accessories	unreviewed	0.0
Plastic Smart Stick Intelligence Educational Building Blocks Construction Kids Toys (Multicolor)	https://yoshops.com/products/plastic-smart-stick-intelligence-educational-building-blocks-construction-kids-toys-multicolor	Gaming Accessories	unreviewed	0.0
"Musical Dancing Boys with Flashing Lights Toys for Babies,Kids,Girls,Boys"	https://yoshops.com/products/musical-dancing-boys-with-flashing-lights-toys-for-babieskidsgirlsboys	Gaming Accessories	unreviewed	0.0
